XXX time_point 1704, cid 17 -> FULL
XXX time_point 1709, cid 17 -> FULL
XXX time_point 1714, cid 17 -> FULL
XXX time_point 1719, cid 17 -> FULL
XXX time_point 1749, cid 17 -> FULL
XXX time_point 1750, cid 17 -> FULL
XXX time_point 1751, cid 17 -> FULL
XXX time_point 1752, cid 17 -> FULL
XXX time_point 1757, cid 17 -> FULL
XXX time_point 1762, cid 17 -> FULL
XXX time_point 1767, cid 17 -> FULL
XXX time_point 1772, cid 17 -> FULL
XXX time_point 1777, cid 17 -> FULL
XXX time_point 1782, cid 17 -> FULL
XXX time_point 1802, cid 17 -> FULL
XXX time_point 1803, cid 17 -> FULL
XXX time_point 1808, cid 17 -> FULL
XXX time_point 1813, cid 17 -> FULL
XXX time_point 1814, cid 17 -> FULL
XXX time_point 1815, cid 17 -> FULL
XXX time_point 1820, cid 17 -> FULL
XXX time_point 1825, cid 17 -> FULL
XXX time_point 1845, cid 17 -> FULL
XXX time_point 1875, cid 17 -> FULL
XXX time_point 1880, cid 17 -> FULL
XXX time_point 1885, cid 17 -> FULL
XXX time_point 1890, cid 17 -> FULL
XXX time_point 1895, cid 17 -> FULL
XXX time_point 1900, cid 17 -> FULL
XXX time_point 1905, cid 17 -> FULL
XXX time_point 1910, cid 17 -> FULL
XXX time_point 1915, cid 17 -> FULL
XXX time_point 1916, cid 17 -> FULL
XXX time_point 1917, cid 17 -> FULL
XXX time_point 1923, cid 17 -> FULL
XXX time_point 1928, cid 17 -> FULL
XXX time_point 1933, cid 17 -> FULL
XXX time_point 1953, cid 17 -> FULL
XXX time_point 1958, cid 17 -> FULL
XXX time_point 1963, cid 17 -> FULL
XXX time_point 1968, cid 17 -> FULL
XXX time_point 1969, cid 17 -> FULL
XXX time_point 1970, cid 17 -> FULL
XXX time_point 1975, cid 17 -> FULL
XXX time_point 1980, cid 17 -> FULL
XXX time_point 1985, cid 17 -> FULL
XXX time_point 1990, cid 17 -> FULL
XXX time_point 2010, cid 17 -> FULL
